assets,w
AAPL,0.09982469706181162
MSFT,0.10977867292773971
GOOGL,0.0626651048727215
AMZN,0.0690006092488723
TSLA,0.0323417662745744
META,0.05015181963545783
NVDA,0.09582038895176477
JPM,0.02367793381396622
UNH,0.011624442363875437
PG,0.012444072704691824
V,0.02273591705914433
DIS,0.0064474996989948505
HD,0.012136621282529179
MA,0.017383844877644966
PYPL,0.00230036027974976
NFLX,0.01633593706272565
INTC,0.003145491237484337
ADBE,0.0054993704078254236
PEP,0.006020837822426872
KO,0.010218688072116629
CSCO,0.008005031544608895
CMCSA,0.004305101213989025
PFE,0.004264393718610131
MRK,0.006422105259954922
XOM,0.015569137524692111
ABBV,0.010993550510017361
TMO,0.005123167568447946
COST,0.0150575907091474
ORCL,0.014192912266131426
IBM,0.007797092236247046
MCD,0.007551269212494679
LIN,0.007173347118849446
GE,0.007717152704317055
TXN,0.005268713446102637
HON,0.004613267751056433
ACN,0.006489114256819469
SBUX,0.003072063305252128
CAT,0.005155648070875059
NOW,0.006829082033679809
MDT,0.0036044314648306847
ISRG,0.0064736762691068594
CVX,0.008143762181412644
DUK,0.003148632447960714
BKNG,0.005556871934105018
LOW,0.004187980119598532
AXP,0.006710335452498467
CI,0.0029989616286822153
DHR,0.004571220759691256
RTX,0.0057869651878195765
GILD,0.004061825907741555
ADP,0.004205162182381607
LRCX,0.003245155861328454
TGT,0.0014745534200721845
BDX,0.0016134606982552242
REGN,0.001918312279227281
FIS,0.0013856477868430292
SYK,0.0049008123378717705
AMT,0.0034667355797132716
SPGI,0.0052421072003170375
PLD,0.0033397584203530895
CME,0.0034496257730447536
APD,0.0020313129824744637
DE,0.00450101070663713
ICE,0.0034437895749673975
GM,0.0015374355448060462
EW,0.0014550404081278853
ADI,0.0034648389945994835
MMC,0.003762958346516331
MU,0.003230345839924423
ZTS,0.002387153386881545
ETN,0.0040819974983177755
VRTX,0.003674108697986623
EOG,0.002041732341772335
AON,0.002575800036869827
CSX,0.0018175773272129426
ROP,0.002064870569845868
KLAC,0.0031217018770196953
MS,0.006573019601449223
PGR,0.005614932204232297
SNPS,0.002513658399416832
MPC,0.0015605757033864567
FTNT,0.0025219888123799083
CDNS,0.002810747688021189
ORLY,0.0026090905248253955
DXCM,0.0011176801255389703
HUM,0.0010138838722436485
SHW,0.0029684929902081473
EL,0.0007386610903072769
KDP,0.0015335818393985262
MAR,0.0023786922510241927
TRV,0.0020575258185371
AIG,0.001598948664377069
ALL,0.0018065752306247653
CTAS,0.0029190979380938407
NOC,0.0023384817232729046
IDXX,0.001331244861995159
PPG,0.000836252625551664
LHX,0.0013807542276952826
HLT,0.0019446286731945599
